"","method","datalength","featureset","seconds","ntraindata","ntestdata","cor","corll","corul","rmse"
"2","lm","max","all",1,6949,772,0.316705327977876,0.251770982599151,0.378800943027759,19.8094241573102
"225","lm","same","all",1,993,110,0.207184166140497,0.0207475702588122,0.37969591139095,22.5120162769298
"3","lm","max","du",1,6949,772,0.293537411263279,0.227692772421915,0.356709824146668,19.9620491479294
"4","lm","same","du",1,993,110,0.170644626705233,-0.017144640631572,0.346805064036695,22.7717552634244
"5","lm","max","rms",1,6949,772,0.236720608261392,0.168982494838115,0.302233016732499,20.291212993181
"6","lm","same","rms",1,993,110,0.167550734564909,-0.0203284858057546,0.344000077069248,22.5056174973076
"7","lm","max","hudgins",1,6949,772,0.249453191084349,0.182097743924781,0.314478527213683,20.2232626633057
"8","lm","same","hudgins",1,993,110,0.20871311271604,0.0223448789161209,0.381062742374239,22.2799086086111
"9","knn","max","all",1,6949,772,0.53566658000097,0.483376083237785,0.584148194785937,17.8145634142727
"10","knn","same","all",1,993,110,0.265450458302833,0.0822995543949011,0.431257013428555,22.5514053006137
"11","knn","max","du",1,6949,772,0.53566658000097,0.483376083237785,0.584148194785937,17.8145634142727
"12","knn","same","du",1,993,110,0.265450458302833,0.0822995543949011,0.431257013428555,22.5514053006137
"13","knn","max","rms",1,6949,772,0.564875514882113,0.514835152135636,0.611079761297627,17.3451676936469
"14","knn","same","rms",1,993,110,0.412353598295277,0.243947222189346,0.55661870539747,20.8334414344753
"15","knn","max","hudgins",1,6949,772,0.357002326906766,0.293843687594959,0.417057179168744,19.8135746042414
"16","knn","same","hudgins",1,993,110,0.290428407487051,0.109120965821098,0.453033787115257,21.917198121861
"17","svmPoly","max","all",1,6949,772,0.434327626828066,0.375267587897516,0.489875345759637,19.0583084515946
"18","svmPoly","same","all",1,993,110,0.388187885331473,0.2166970132345,0.536438396918907,21.7758607244577
"19","svmPoly","max","du",1,6949,772,0.393489323088601,0.332150789465218,0.451513760010488,19.4464337913469
"20","svmPoly","same","du",1,993,110,0.321964862716179,0.143366256197237,0.480254125764895,22.5548054403408
"21","svmPoly","max","rms",1,6949,772,0.354012256660128,0.290713430063253,0.414225825530732,19.9317404251064
"22","svmPoly","same","rms",1,993,110,0.424935215745475,0.258240806723836,0.567058400721993,21.2013826137783
"23","svmPoly","max","hudgins",1,6949,772,0.377805007479649,0.315659249793418,0.436723416171306,19.6239672006165
"24","svmPoly","same","hudgins",1,993,110,0.252277562194274,0.0682605053767135,0.419694017258144,22.8436335688265
"25","ranger","max","all",1,6949,772,0.622243751892681,0.577017588667144,0.663665555808773,16.3553295365305
"26","ranger","same","all",1,993,110,0.420322617588013,0.252992090267175,0.56323635560865,20.6661133753225
"27","ranger","max","du",1,6949,772,0.611367739469035,0.565188471777205,0.653727562844692,16.5245656060255
