"","method","datalength","featureset","seconds","ntraindata","ntestdata","cor","corll","corul","rmse"
"2","lm","max","all",1,1210,134,0.846002633698204,0.789716642726006,0.888164141839641,11.23410746559
"225","lm","same","all",1,173,19,0.810349799472049,0.563574468206884,0.924339076930138,13.9560617580844
"3","lm","max","du",1,1210,134,0.83847505111324,0.779765973356449,0.882566361357911,11.4792397894548
"4","lm","same","du",1,173,19,0.807146502809618,0.557222456335304,0.922979209045028,13.9669048332717
"5","lm","max","rms",1,1210,134,0.82366595530167,0.760276107343009,0.871517183194286,12.0338715899096
"6","lm","same","rms",1,173,19,0.617071258086635,0.226285024167033,0.836755214783773,18.7338378943892
"7","lm","max","hudgins",1,1210,134,0.835279376475631,0.775550578834604,0.880186157647743,11.6113751960754
"8","lm","same","hudgins",1,173,19,0.782658887429632,0.50961207334633,0.912487234046801,14.6270805296462
"9","knn","max","all",1,1210,134,0.869172729649149,0.820532080432915,0.905316080304988,10.4440548667217
"10","knn","same","all",1,173,19,0.784796192087672,0.513702005193996,0.913409838037447,14.5242861173293
"11","knn","max","du",1,1210,134,0.869172729649149,0.820532080432915,0.905316080304988,10.4440548667217
"12","knn","same","du",1,173,19,0.784796192087672,0.513702005193996,0.913409838037447,14.5242861173293
"13","knn","max","rms",1,1210,134,0.880797847666375,0.836100345306082,0.913877530674258,10.0151994309913
"14","knn","same","rms",1,173,19,0.821465247203198,0.585844639286874,0.929035471899588,13.3970995786915
"15","knn","max","hudgins",1,1210,134,0.853785714446336,0.800036290508202,0.893938792622943,10.9646230795995
"16","knn","same","hudgins",1,173,19,0.526705118241592,0.0952932514831255,0.791548749411937,20.3264707594268
"17","svmPoly","max","all",1,1210,134,0.894150226055481,0.854071025663909,0.923674872474397,9.43684662924425
"18","svmPoly","same","all",1,173,19,0.299039993974215,-0.179558081710966,0.663172693811487,36.5444149840537
"19","svmPoly","max","du",1,1210,134,0.886121181069036,0.843253425036527,0.917788163894117,9.79413048625614
"20","svmPoly","same","du",1,173,19,0.345850400004016,-0.128553094468107,0.691442108117658,29.9714918196694
"21","svmPoly","max","rms",1,1210,134,0.86853803698857,0.819684177572501,0.904847806608395,10.4356049482585
"22","svmPoly","same","rms",1,173,19,0.726959654666031,0.40720668819718,0.88796887636014,16.0975950534487
"23","svmPoly","max","hudgins",1,1210,134,0.872201802025223,0.824581649799001,0.907549708091544,10.35347756674
