"","method","datalength","featureset","seconds","cor","corll","corul","rmse"
"1","lm","max","all",1,0.232870867633761,0.168184765516622,0.295560040794452,22.2294298216661
"2","lm","same","all",1,0.336924940210892,0.168565954098939,0.486182489140217,22.584073531535
"3","lm","max","du",1,0.206865832136629,0.141513843119161,0.270422536622436,22.3139383298565
"4","lm","same","du",1,0.297414476944652,0.125584929608156,0.451919740508546,22.913881067333
"5","lm","max","rms",1,0.162429828879684,0.0961585220332893,0.227267429070254,22.2112554195026
"6","lm","same","rms",1,0.116664388112526,-0.0631471309745915,0.28913981734412,23.8094384794969
"7","lm","max","hudgins",1,0.238918154022486,0.174400501252691,0.301393174777264,21.8713387214716
"8","lm","same","hudgins",1,0.229950092343994,0.0536558824862673,0.392342798218769,23.3462584285298
"9","knn","max","all",1,0.599018568646778,0.554038813063329,0.640511102516184,18.00575040549
"10","knn","same","all",1,0.465987925972862,0.313573575574412,0.5949944666325,21.3823902211668
"11","knn","max","du",1,0.599023279461447,0.55404390493345,0.640515435457165,18.005650144775
"12","knn","same","du",1,0.465987925972862,0.313573575574412,0.5949944666325,21.3823902211668
"13","knn","max","rms",1,0.599901145114191,0.554992839454207,0.641322837805678,17.9939223626418
"14","knn","same","rms",1,0.393052449975584,0.230744614443595,0.534078813427242,22.4184950319599
"15","knn","max","hudgins",1,0.325344476725487,0.263799687068922,0.384251008021873,21.5706323733854
"16","knn","same","hudgins",1,0.26867725886531,0.0947234719019557,0.426709665642844,23.4623135066902
"17","svmPoly","max","all",1,0.364371635565165,0.304518819876476,0.421358316811424,22.2202785964048
"18","svmPoly","same","all",1,0.370423660690875,0.205515690914656,0.514876873688191,23.2629133394593
"19","svmPoly","max","du",1,0.364243931806744,0.304385221976493,0.42123720551228,22.0162334947213
"20","svmPoly","same","du",1,0.3790187606774,0.215072654519336,0.522187464565456,23.0748139446723
"21","svmPoly","max","rms",1,0.235421638441773,0.170805961863084,0.298021051357654,25.7664481168774
"22","svmPoly","same","rms",1,0.287228428553003,0.114607754057196,0.443012051750372,24.1687365836374
"23","svmPoly","max","hudgins",1,0.134027171109314,0.0673117076943459,0.199549441878368,51.4974258449926
"24","svmPoly","same","hudgins",1,0.289509250086434,0.117062064473417,0.445009303979933,23.9497272013172
"25","ranger","max","all",1,0.659445105995093,0.619631249982969,0.695874106558606,16.9311124719143
"26","ranger","same","all",1,0.500769847023384,0.353907586192804,0.623531583340158,20.729182942264
"27","ranger","max","du",1,0.642208002366603,0.600863674034181,0.680125428488145,17.224282351021
"28","ranger","same","du",1,0.506003769789262,0.360024633775646,0.627797667429446,20.7178768200807
"29","ranger","max","rms",1,0.611485842781093,0.567526350575082,0.651969084906247,17.7853315864034
"30","ranger","same","rms",1,0.532898698260382,0.391656783069534,0.64960448155157,20.3168010957591
"31","ranger","max","hudgins",1,0.609792361134074,0.565692896586479,0.650413783914825,17.8186693052101
"32","ranger","same","hudgins",1,0.454225781961414,0.300057206791383,0.585269955863049,21.4766487149314
"33","lm","max","all",2,0.335168647956564,0.240668643526618,0.423373989442541,21.4290191641924
"34","lm","same","all",2,0.303538051673714,0.132204420551427,0.45726001179704,22.7956796683579
"35","lm","max","du",2,0.311883678631969,0.216017336515289,0.401794193438786,21.604936134587
"36","lm","same","du",2,0.261725107039333,0.0873073135601778,0.420573687410792,23.0867355433339
"37","lm","max","rms",2,0.189311477715288,0.0882368855606118,0.286527407853507,22.3608699053728
"38","lm","same","rms",2,0.0577305649270541,-0.122023381415336,0.233817673956743,23.9663763232474
"39","lm","max","hudgins",2,0.266641750897288,0.168467551344209,0.359577893918373,21.9177198372758
"40","lm","same","hudgins",2,0.224316828043417,0.0477314534112068,0.387305724999967,23.3302605515342
"41","knn","max","all",2,0.635934314831636,0.570431020403691,0.693399326337929,17.5563041953404
